time,open,high,low,close,Volume
2021-12-17,1514,1524.9,1512.6,1520,132974
2021-12-20,1512,1517.5,1495.2,1508,135638
2021-12-21,1511,1519.5,1508.9,1512.5,121868
2021-12-22,1515.6,1519.7,1500,1508,132208
2021-12-23,1506.7,1507.8,1475.1,1488.2,195699
2021-12-24,1488,1512,1484.2,1509,143620
2021-12-27,1513.5,1518.8,1501.3,1516,125770
2021-12-28,1518,1524.5,1509.5,1520.2,142193
2021-12-29,1522,1526.4,1517,1519,104588
2021-12-30,1518.9,1533.5,1518.2,1525.5,102713
2021-12-31,1527.9,1542,1527.3,1537,112972
2022-01-04,1544.9,1563,1542.9,1558.5,82662
2022-01-05,1557.6,1560.5,1548.1,1549,81630
2022-01-06,1544,1557,1543.5,1545.1,94415
2022-01-07,1547.9,1548,1533.1,1539.6,109279
2022-01-10,1540,1540.3,1513.1,1513.1,107307
2022-01-11,1515,1518.7,1499.5,1503.6,129109
2022-01-12,1500.1,1528.9,1486.1,1528.9,177369
2022-01-13,1530.1,1541.9,1522.4,1525.7,151811
2022-01-14,1519.5,1532.3,1515,1520.1,142052
2022-01-17,1522.9,1525.4,1478.2,1480,178669
2022-01-18,1475,1489.9,1466.2,1482.5,172531
2022-01-19,1482.9,1496.5,1476.5,1482,164016
2022-01-20,1483.8,1495.8,1480.1,1492.6,110419
2022-01-21,1493,1503.8,1490.8,1498.9,126276
2022-01-24,1496,1496,1466,1468.2,158883
2022-01-25,1468.7,1503.9,1465.2,1503.9,208041
2022-01-26,1510,1525,1509,1519,159574
2022-01-27,1513.3,1516.5,1498.5,1512,140195
2022-01-28,1518.2,1534.5,1517.1,1528,146392
2022-02-07,1543.9,1548,1530,1532.8,83370
2022-02-08,1532.8,1543.7,1527.4,1535.5,111985
2022-02-09,1540,1555.9,1540,1541,133395
2022-02-10,1544,1544.5,1528.5,1542.5,135635
2022-02-11,1538.9,1545.9,1534.9,1543,123536
2022-02-14,1535.5,1536,1510.1,1510.1,155910
2022-02-15,1511.1,1527.5,1511,1522,135768
2022-02-16,1528,1532.4,1514.5,1521,154199
2022-02-17,1522,1540.2,1521.3,1540.2,132651
2022-02-21,1523.2,1531.5,1521,1530,103489
2022-02-22,1517.9,1519.7,1501.4,1517.5,177125
2022-02-23,1526.1,1535,1524.4,1529.3,116662
2022-02-24,1520,1526.2,1502.5,1514.7,204657
2022-02-25,1526,1529.9,1517,1517,127879
2022-02-28,1511,1518.8,1507.6,1511.2,128545
2022-03-01,1517.8,1518.2,1512.1,1515.6,107865
2022-03-02,1512,1513,1495.8,1502,173354
2022-03-03,1508.5,1517.5,1502.8,1517.5,139237
2022-03-04,1514.8,1517.5,1510,1513,117730
2022-03-07,1496,1507.8,1496,1504.2,121171
2022-03-08,1498.7,1499.4,1484.2,1490.3,147557
2022-03-09,1494,1495.8,1486.2,1490.8,132245
2022-03-10,1500.5,1501.9,1490,1490,110620
2022-03-11,1486.7,1487.5,1471.1,1476,154986
2022-03-14,1475.2,1476,1456,1463.4,157699
2022-03-15,1462.1,1469.7,1457.9,1464.5,146815
2022-03-16,1471,1475.1,1465.2,1471.8,119620
2022-03-17,1477.5,1478.8,1468,1472.2,113309
2022-03-21,1479.7,1496.1,1479.1,1494.9,109890
2022-03-22,1498.1,1505.5,1494,1500,116675
2022-03-23,1502.7,1510.2,1494.8,1497.2,135207
2022-03-24,1495.5,1499.5,1491,1494,123052
2022-03-25,1497.1,1497.1,1488,1494,118347
2022-03-28,1489.1,1490.8,1475.5,1483.5,122542
2022-03-29,1485.5,1493.5,1484.5,1493.4,100343
2022-03-30,1489.4,1503.9,1486.1,1489.8,165435
2022-03-31,1492,1499.4,1490,1496,92519
2022-04-01,1493,1528,1492.2,1525,157870
2022-04-04,1529.4,1537.3,1526.6,1528.4,103234
2022-04-05,1526.9,1532.7,1523.5,1525.3,105702
2022-04-06,1519,1550.6,1517.8,1540.3,189989
2022-04-07,1543,1544.5,1529.4,1529.8,145311
2022-04-08,1528.4,1535.3,1523.9,1523.9,135137
2022-04-12,1525.9,1526.6,1507.2,1509.4,168130
2022-04-13,1511.4,1521.2,1511.3,1519.7,133661
2022-04-14,1522.2,1524.6,1509,1512.5,128856
2022-04-15,1511.8,1517.4,1492.6,1492.6,168960
2022-04-18,1494.8,1494.8,1473.1,1479,2584
2022-04-19,1479,1484,1455,1457.8,12304
2022-04-20,1462,1462,1433,1439,14907
2022-04-21,1444.9,1455.7,1432,1450,26273
2022-04-22,1442.3,1459.8,1434.7,1445,226792
2022-04-25,1442.9,1445.6,1345.3,1353.1,283121
2022-04-26,1356.1,1393.2,1327.1,1391,393901
2022-04-27,1379,1406,1358.1,1401,311802
2022-04-28,1399.7,1406.7,1388,1392,256204
2022-04-29,1395,1421.6,1389.6,1409,247602
2022-05-04,1408.3,1410,1383,1383,212170
2022-05-05,1392,1403.6,1372.6,1402.5,231376
2022-05-06,1382,1396.3,1358.8,1362,301422
